Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0.0,0.0,0.0,1.0,0.7118915419153378,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.676993993161318,0.6950038342753249
0,0.0,0.0,0.0,0.0,0.932732164624072,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8930778449758376,0.9141751664282192
1,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.1338626675780378,0.036022264781892
1,1.0,0.0,0.0,0.0,0.3241530487862445,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.719320486621629,0.4136932537382043
0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6521353030592945,
0,1.0,0.0,0.0,0.0,0.4550063285050211,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.7143535292971839,0.5415336112374145
0,1.0,0.0,1.0,1.0,0.8103826219656114,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0200970412589307,0.5681806026305056
0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.0435254421069462,0.7042294399300297
1,1.0,0.0,0.0,0.0,0.6884893272528545,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.4143010097995927,0.5971448882606152
0,1.0,0.0,0.0,1.0,0.5384065599032098,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0475552277406599,0.400538874615183
1,1.0,1.0,1.0,0.0,0.7118915419153378,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.7108875982250571,0.711010715752544
0,0.0,1.0,0.0,0.0,0.8901004623307206,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.7181783598503162,0.8301094048779294
0,1.0,1.0,0.0,0.0,0.8103826219656114,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.0435254421069462,0.5610585959731278
0,0.0,0.0,1.0,0.0,0.8625596086894544,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.938093123854645,0.8826960444144785
0,0.0,0.0,0.0,0.0,0.9002684555126956,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.4437719876129433,0.7501688228075449
0,0.0,0.0,0.0,0.0,0.8379234756068777,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5702585845035486,0.7524130802945677
0,0.0,0.0,1.0,1.0,0.990048413124991,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.3333333333333333,0.9348010703593976,0.9702269635191374
0,0.0,0.0,1.0,0.0,0.996729639025934,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.7937470905155486,0.9315093329000376
0,0.0,0.0,1.0,0.0,0.996729639025934,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.160509896502059,0.7351478291203348
0,1.0,0.0,1.0,0.0,0.8313363640151087,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.5707611201284104,0.7549352414105805
0,1.0,0.0,0.0,0.0,0.2568852134103166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5856213759634898,0.3762414386738316
0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.9576736798770188,0.9845312925466804
0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.8555327681851264,0.9513063432974946
0,0.0,0.0,1.0,1.0,0.9866348196821362,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.3333333333333333,0.7402036423055529,0.9152377357153
0,0.0,0.0,0.0,0.0,0.87396806630846,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.6666666666666666,0.5865975079757586,0.7868430222148919
0,1.0,1.0,0.0,0.0,0.7118915419153378,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0620762331249618,0.5099657990923776
1,0.0,1.0,0.0,0.0,0.4862295731793668,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8643005195757203,0.5963874830510856
0,1.0,1.0,1.0,0.0,0.5384065599032098,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7567669574831064,0.5942523547022205
0,0.0,0.0,0.0,0.0,0.996729639025934,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.9431185168288478,0.9713148136487266
0,0.0,1.0,0.0,0.0,0.8952397241077967,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.8596423084649096,0.8787084290182021
0,0.0,0.0,1.0,1.0,0.2568852134103166,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.7890954015625926,0.4159718727728465
1,0.0,1.0,0.0,0.0,0.5810382621965612,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.8596423084649096,0.6624095962309042
0,0.0,0.0,1.0,0.0,0.7618309326356956,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5146719052479263,0.6761128187817513
0,1.0,0.0,0.0,0.0,0.2568852134103166,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5397391888403074,0.3498695961489657
0,0.0,0.0,0.0,0.0,0.9100126570100424,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7507054239013917,0.8618949002028595
0,1.0,0.0,0.0,0.0,0.817577866534723,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7930850395169013,0.8066001161628631
