Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2627110291378083,0.0753532753795762
0,1.0,0.0,0.0,0.0,0.8245582952890139,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.75,0.6076329397433606,0.7514026739239619
2,1.0,0.0,0.0,0.0,0.16207652439312228,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5777474037858288,0.28517154996801936
0,1.0,0.0,0.0,0.0,0.8901004623307206,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.44884512850381153,0.7471423426542396
2,0.0,0.0,0.0,0.0,0.16207652439312228,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.723110027453989,0.34027016972188845
2,0.0,0.0,0.0,0.0,0.4862295731793668,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.9063694934852276,0.6154467921003237
0,1.0,0.0,0.0,1.0,0.7227691775175288,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.8466186369056872,0.7564893869175304
0,0.0,0.0,0.0,0.0,0.5384065599032098,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2609192688591071,0.45248981883869027
2,0.0,0.0,1.0,0.0,0.7791593772912657,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.9332747880566581,0.8292342351737398
0,1.0,0.0,0.0,1.0,0.9650354435418571,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6000792284482519,0.8513137890438904
0,1.0,0.0,1.0,1.0,0.5997544082425733,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5376055433957259,0.5609892488143586
0,1.0,0.0,0.0,0.0,0.6483060975724891,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.25,0.020097041258930748,0.46540692060250005
0,1.0,0.0,1.0,0.0,0.9494411996512406,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.25,0.9101071171812487,0.9308236691030833
2,1.0,0.0,0.0,0.0,0.9100126570100423,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9276407936433371,0.9111881504117765
0,1.0,0.0,0.0,0.0,0.7526600710201751,1.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.936829350336855,0.8087347625426375
0,0.0,0.0,1.0,1.0,0.990048413124991,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.974678942383183,0.9844631819360974
0,0.0,0.0,0.0,0.0,0.9239074570288179,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,0.75,0.06596891667498461,0.651390554914733
0,1.0,0.0,0.0,1.0,0.9967296390259341,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9428683673457052,0.9735153415490485
2,0.0,0.0,1.0,1.0,0.5384065599032098,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5909681522596957,0.5437074195369349
0,0.0,0.0,0.0,0.0,0.7118915419153378,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.8522815072775116,0.7490918771848329
2,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.4143010097995927,0.12162617372097756
0,1.0,0.0,1.0,0.0,0.5810382621965612,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,0.0,0.0435254421069462,0.3871987980625558
2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.75,0.05288139721134799,0.011302701688893635
0,0.0,0.0,1.0,0.0,0.9494411996512406,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.25,0.6345986180488024,0.8521132188260789
0,1.0,0.0,1.0,1.0,0.9100126570100423,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.6319177217288852,0.8251297900240768
